"TOPIC","SUBTOPIC","SUBTOPIC_ID","TAXONOMY","TAXONOMY_ID","CLASSIFICATION","CLASSIFICATION_ID","GROUP","GROUP_ID","GROUP_ORDER","SUBGROUP","SUBGROUP_ID","SUBGROUP_ORDER","NESTING_LABEL","NESTING_LABEL_ID","ESTIMATE_TYPE","ESTIMATE_TYPE_ID","TIME_PERIOD","TIME_PERIOD_ID","ESTIMATE","STANDARD_ERROR","ESTIMATE_LCI","ESTIMATE_UCI","FLAG","FOOTNOTE_ID_LIST"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","1988-1994","1","42.9","0.8",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","1995-1998","2",,,,,"- - -","FN0027,FN0201,NT0009,SC0004,NA0004,NT9997,FN9995"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","1999-2000","3",,,,,"- -","FN0027,FN0201,NT0009,SC0004,NA0012,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","2001-2004","4","46.9","1",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","2005-2008","5","44.6","0.8",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","2009-2012","6","44.4","0.7",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","2013-2016","7","43.8","0.7",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, age adjusted","1","2017-3/2020","8","46.3","1.2",,,,"FN0027,FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","1988-1994","1","41.3","0.9",,,,"FN0201,NT0009,SC0004,NT9997"
"Hypertension, measured, more detail",,,"Cardiovascular diseases","60","Total","0","Total","0","1","20 years and older","0.1","1",,,"Percent of population, crude","2","1995-1998","2",,,,,"- - -","FN0201,NT0009,SC0004,NA0004,NT9997,FN9995"
